album,release_date
ColleGrove,2016-03-03
Based On A T.R.U. Story,2012-08-14
B.O.A.T.S. II #METIME,2013-01-01
Pretty Girls Like Trap Music,2017-06-16
Testing,2018-05-25
AT.LONG.LAST.A$AP,2015-05-26
Long.Live.A$AP,2013-01-11
Southsiders,2014-05-05
Fishing Blues,2016-08-12
Dark Sky Paradise,2015-02-24
Hall Of Fame,2013-01-01
I Decided.,2017-02-03
Out My Feelings In My Past,2016-02-05
BooPac,2017-12-15
In My Feelings. ( Goin' Thru It ),2016-01-01
Bleek Mode: Thug In Peace Lil Bleek,2016-05-11
Thug Talk,2016-03-16
Life After Deathrow,2014-10-30
Saturation III,2017-12-15
iridescence,2018-09-21
Invasion Of Privacy,2018-04-06
"Gangsta Bitch Music, Vol. 1",2016-03-07
Finally Rich,2012-01-01
Bang 3,2015-08-04
Old,1988-10-17
Atrocity Exhibition,2016-09-27
Nothing Was The Same,2013-01-01
If You're Reading This It's Too Late,2015-02-12
Take Care,2011
Views,2016-05-06
Scorpion,2018-06-29
More Life,2017-03-18
The Marshall Mathers LP 2,2013-11-05
Kamikaze,2018-08-31
Curtain Call: The Hits,2005-12-06
Revival,2017-12-15
The Eminem Show,2002-05-26
Honest,2018-11-02
HNDRXX,2017-07-27
DS2,2015-07-17
Pluto,2017-03-10
BEASTMODE 2,2018-07-06
FUTURE,2018-10-19
EVOL,2016-04-13
When It's Dark Out,2015-12-04
These Things Happen,2014-07-18
The Beautiful & Damned,2017-12-15
Everybody Looking,2016-07-22
Trap House 3,2015-06-09
Mr. Davis,2017-10-13
The Return Of East Atlanta Santa,2016-12-16
Droptopwop,2017-05-26
Knock Madness,2013-11-26
Pound Syndrome,2015-07-24
Cilvia: Demo,2014-01-28
The Sun's Tirade,2016-09-02
2014 Forest Hills Drive,2014-12-09
KOD,2018-04-20
Born Sinner,2013-06-14
4 Your Eyez Only,2016-12-09
Seen It All: The Autobiography,2014-09-02
Trap Or Die 3,2016-10-28
Church In These Streets,2015-11-13
Pressure,2014-10-21
untitled unmastered.,2016-03-04
DAMN.,2017-04-14
To Pimp A Butterfly,2015-03-16
"good kid, m.A.A.d city",2012
By Any Means 2,2018-10-28
Luca Brasi 3,2018-09-28
By Any Means,2018-10-28
Islah,2016-01-29
Stranger Than Fiction,1994-08-30
"Passion, Pain & Demon Slayin'",2016-12-16
Indicud,2013-01-01
SATELLITE FLIGHT: The journey to Mother Moon,2014-01-01
Project Baby Two,2017-08-18
Heart Break Kodak,2018-02-14
Painting Pictures,2017-03-31
Church Clothes 3,2016-01-15
Anomaly,2014-09-09
Gravity,2018-06-29
Church Clothes: Vol. 2,2013-11-07
The Perfect LUV Tape,2016-08-10
Luv Is Rage 2,2017-08-25
Lil Uzi Vert Vs. The World,2016-05-27
I Am Not A Human Being II,2013-01-01
Tha Carter V,2018-09-28
Tha Carter IV,2011-01-01
Lil Boat 2,2018-03-09
Nuthin' 2 Prove,2018-10-19
Teenage Emotions,2017-05-26
Under Pressure,2014-10-21
Bobby Tarantino,2018-03-09
The Incredible True Story,2015-11-13
Bobby Tarantino II,2018-03-09
Everybody,2017-05-05
GO:OD AM,2015-09-18
Swimming,2018-08-03
Watching Movies With The Sound Off,2013-06-18
Live From Space,2013-12-17
The Divine Feminine,2016-09-16
Blue Slide Park,2011-11-15
General Admission,2015-10-16
BINGE,2018-09-21
bloom,2018-08-31
Culture II,2018-01-26
No Label II,2014-06-03
Culture,2018-01-26
Yung Rich Nation,2015-07-31
Relief,2016-03-25
These Days,2018-01-19
Closer,2016-07-29
2 Heartless,2018-02-14
Federal 3X,2017-08-11
Mansion,2015-03-31
Perception,2017-10-06
Therapy Session,2016-04-22
Queen,2018-10-19
The Pinkprint,2014-12-15
Pink Friday: Roman Reloaded,2012-01-01
Pink Season,2017-01-04
Stoney,2016-12-09
beerbongs & bentleys,2018-04-27
Black Market,2014-01-01
Mastermind,2014-01-01
Hood Billionaire,2014-11-24
"God Forgives, I Don't",2012-01-01
Rather You Than Me,2017-03-17
Next To Nothing,2014-09-09
The Life And Times Of Jonny Valiant,2013-04-30
Top Of The Line,2006-01-01
There's Really A Wolf,2017-05-05
Starbomb,2013-12-13
Player Select,2014-12-16
Beautiful Death Machine,2013-03-19
Brand New Day,1999-01-01
Something Else,1967-09-15
The Storm,2000
Special Effects,2015-05-04
Jesus Piece,2012-12-11
1992,2014-01-01
The Documentary 2,2015-10-09
The Documentary 2.5,2015-10-16
Blood Moon: Year Of The Wolf,2014-10-21
Keep It Redneck,2013-08-20
Nothing In Particular,2014-10-28
Outlaw In Me,2015-05-26
I Told You,2016-08-19
Memories Don't Die,2018-03-02
Chicken Willie,2016-08-12
King Of Dixie,2017-10-18
The Album About Nothing,2015-03-31
The Gifted,2013-06-24
SHINE,2008-03-28
Rolling Papers 2,2018-07-13
Khalifa,2018-07-13
O.N.I.F.C.,2012-12-04
"Laugh Now, Fly Later",2017-11-07
Blacc Hollywood,2014-08-19
Blame It On The Streets (Soundtrack),2014-12-15
My Krazy Life,2014-01-01
Stay Dangerous,2018-08-03
Still Brazy,2016-06-17
I Am,2018-08-17
I Still Am,2017-10-27
White Friday (CM9),2016-12-23
The Art Of Hustle,2016-02-19
Slime Season 3,2016-03-25
BEAUTIFUL THUGGER GIRLS,2017-06-16
Barter 6,2015-04-16
I'm Up,2016-02-05
JEFFERY,2016-08-26
4Respect 4Freedom 4Loyalty 4WhatImportant,2018-09-14
Decided,2017-02-03
AI YoungBoy,2017-08-04
Until Death Call My Name,2018-04-27
Drankin & Drivin,2016-07-15
Legendary,1995-08-29
