artist,album,track
BrockHampton,Saturation III,ALASKA
BrockHampton,Saturation III,CINEMA 2
BrockHampton,Saturation III,SISTER / NATION
BrockHampton,iridescence,DISTRICT
BrockHampton,iridescence,THUG LIFE
BrockHampton,iridescence,J'OUVERT
BrockHampton,Saturation III,BOOGIE
BrockHampton,iridescence,VIVID
BrockHampton,iridescence,HONEY
BrockHampton,iridescence,TONYA
BrockHampton,iridescence,SAN MARCOS
BrockHampton,Saturation III,STUPID
BrockHampton,Saturation III,CINEMA 1
BrockHampton,Saturation III,CINEMA 3
BrockHampton,iridescence,TAPE
BrockHampton,Saturation III,RENTAL
BrockHampton,iridescence,NEW ORLEANS
BrockHampton,Saturation III,LIQUID
BrockHampton,Saturation III,JOHNNY
BrockHampton,Saturation III,TEAM
Drake,Scorpion,Elevate
Drake,More Life,Teenage Fever
Drake,Scorpion,Blue Tint
Drake,Take Care,Headlines
Drake,Scorpion,Nonstop
Drake,Views,Controlla
Drake,Views,Fire & Desire
Drake,Views,Hype
Drake,Take Care,Doing It Wrong
Drake,If You're Reading This It's Too Late,6PM in New York
Drake,If You're Reading This It's Too Late,Energy
Drake,If You're Reading This It's Too Late,6 God
Drake,Scorpion,Jaded
Drake,Views,9
Drake,Scorpion,8 Out of 10
Drake,Views,Feel No Ways
Drake,Views,Views
Drake,Views,Still Here
Drake,If You're Reading This It's Too Late,My Side
Drake,If You're Reading This It's Too Late,No Tellin'
Eminem,Kamikaze,Normal
Eminem,Curtain Call: The Hits,FACK
Eminem,The Eminem Show,Curtains Up (Skit)
Eminem,Revival,Arose
Eminem,Kamikaze,Kamikaze
Eminem,The Eminem Show,Hailie's Song
Eminem,Revival,Heat
Eminem,The Eminem Show,The Kiss (Skit)
Eminem,Curtain Call: The Hits,When I'm Gone
Eminem,The Eminem Show,Curtains Close (Skit)
Eminem,Revival,Framed
Eminem,Curtain Call: The Hits,Sing for the Moment
Eminem,Curtain Call: The Hits,Mockingbird
Eminem,Curtain Call: The Hits,Role Model
Eminem,The Eminem Show,Square Dance
Eminem,The Eminem Show,Cleanin' Out My Closet
Eminem,Curtain Call: The Hits,Kill You
Eminem,Curtain Call: The Hits,Criminal
Eminem,The Eminem Show,Sing for the Moment
Eminem,Kamikaze,Greatest
Future,DS2,Rich $ex
Future,DS2,DS2 Cover Art + Tracklist
Future,FUTURE,High Demand
Future,DS2,Rotation
Future,DS2,Thought It Was a Drought
Future,BEASTMODE 2,HATE THE REAL ME
Future,HNDRXX,Sorry
Future,BEASTMODE 2,RED LIGHT
Future,FUTURE,POA
Future,BEASTMODE 2,WHEN I THINK ABOUT IT
Future,HNDRXX,Fresh Air
Future,FUTURE,Mask Off
Future,HNDRXX,Testify
Future,DS2,Freak Hoe
Future,DS2,Real Sisters
Future,HNDRXX,I Thank U
Future,HNDRXX,Solo
Future,HNDRXX,Hallucinating
Future,DS2,Colossal
Future,DS2,The Percocet & Stripper Joint
Gucci Mane,The Return Of East Atlanta Santa,Bales
Gucci Mane,Everybody Looking,Waybach
Gucci Mane,The Return Of East Atlanta Santa,Yet
Gucci Mane,The Return Of East Atlanta Santa,Greatest Show On Earth
Gucci Mane,Everybody Looking,No Sleep (Intro)
Gucci Mane,Mr. Davis,Make Love by Gucci Mane & Nicki Minaj
Gucci Mane,Droptopwop,Dance With the Devil
Gucci Mane,The Return Of East Atlanta Santa,St. Brick Intro
Gucci Mane,Everybody Looking,All My Children
Gucci Mane,Everybody Looking,Richest Nigga In The Room
Gucci Mane,Mr. Davis,Members Only
Gucci Mane,The Return Of East Atlanta Santa,Stutter
Gucci Mane,Droptopwop,Helpless
Gucci Mane,Mr. Davis,Money Piling
Gucci Mane,Everybody Looking,Pick Up the Pieces (Outro)
Gucci Mane,Droptopwop,Hurt a Nigga Feelings
Gucci Mane,Mr. Davis,Back On
Gucci Mane,The Return Of East Atlanta Santa,Crash
Gucci Mane,Everybody Looking,Out Do Ya
Gucci Mane,Everybody Looking,Pop Music
J. Cole,KOD,Window Pain (Outro)
J. Cole,2014 Forest Hills Drive,A Tale of 2 Citiez
J. Cole,KOD,KOD
J. Cole,2014 Forest Hills Drive,Love Yourz
J. Cole,4 Your Eyez Only,Immortal
J. Cole,KOD,ATM
J. Cole,2014 Forest Hills Drive,Wet Dreamz
J. Cole,4 Your Eyez Only,For Whom the Bell Tolls
J. Cole,KOD,Photograph
J. Cole,KOD,Intro (KOD)
J. Cole,2014 Forest Hills Drive,Apparently
J. Cole,2014 Forest Hills Drive,Hello
J. Cole,2014 Forest Hills Drive,G.O.M.D.
J. Cole,KOD,Kevin's Heart
J. Cole,4 Your Eyez Only,Neighbors
J. Cole,4 Your Eyez Only,Foldin Clothes
J. Cole,2014 Forest Hills Drive,January 28th
J. Cole,4 Your Eyez Only,Ville Mentality
J. Cole,2014 Forest Hills Drive,Note to Self
J. Cole,2014 Forest Hills Drive,Intro (2014 Forest Hills Drive)
Kendrick Lamar,DAMN.,YAH.
Kendrick Lamar,To Pimp A Butterfly,The Blacker the Berry
Kendrick Lamar,DAMN.,FEAR.
Kendrick Lamar,"good kid, m.A.A.d city",Black Boy Fly
Kendrick Lamar,"good kid, m.A.A.d city","Sing About Me, I'm Dying of Thirst"
Kendrick Lamar,"good kid, m.A.A.d city",Collect Calls
Kendrick Lamar,DAMN.,ELEMENT.
Kendrick Lamar,untitled unmastered.,​untitled 03 | 05.28.2013.
Kendrick Lamar,DAMN.,DUCKWORTH.
Kendrick Lamar,untitled unmastered.,​untitled 05 | 09.21.2014.
Kendrick Lamar,DAMN.,BLOOD.
Kendrick Lamar,"good kid, m.A.A.d city",Sherane a.k.a Master Splinter's Daughter
Kendrick Lamar,untitled unmastered.,​untitled 01 | 08.19.2014.
Kendrick Lamar,To Pimp A Butterfly,Alright
Kendrick Lamar,DAMN.,DNA.
Kendrick Lamar,To Pimp A Butterfly,​i (Album Version)
Kendrick Lamar,"good kid, m.A.A.d city",The Art of Peer Pressure
Kendrick Lamar,To Pimp A Butterfly,​i (Single Version)
Kendrick Lamar,DAMN.,HUMBLE.
Kendrick Lamar,DAMN.,GOD.
Kevin Gates,By Any Means 2,Attention
Kevin Gates,By Any Means 2,Jus Wanna
Kevin Gates,Islah,Really Really
Kevin Gates,By Any Means 2,No Love
Kevin Gates,By Any Means 2,Imagine That
Kevin Gates,Islah,I Love It
Kevin Gates,By Any Means 2,GOMD
Kevin Gates,By Any Means 2,No Trust
Kevin Gates,Islah,2 Phones
Kevin Gates,Islah,The Truth
Kevin Gates,Islah,Kno One
Kevin Gates,By Any Means 2,Why I
Kevin Gates,Islah,Ask for More
Kevin Gates,Islah,Excuse Me
Kevin Gates,By Any Means 2,McGyver
Kevin Gates,By Any Means 2,Came Up
Kevin Gates,Islah,One Thing
Kevin Gates,Islah,Pride
Kevin Gates,By Any Means 2,Fuckin Right
Kevin Gates,By Any Means 2,Had To
Kodak Black,Painting Pictures,Up in Here
Kodak Black,Painting Pictures,Twenty 8
Kodak Black,Project Baby Two,Change My Ways
Kodak Black,Project Baby Two,Versatile
Kodak Black,Painting Pictures,Save You
Kodak Black,Project Baby Two,Transportin'
Kodak Black,Project Baby Two,Need a Break
Kodak Black,Heart Break Kodak,Why You Always Gotta Go
Kodak Black,Painting Pictures,Why They Call You Kodak
Kodak Black,Painting Pictures,Patty Cake
Kodak Black,Project Baby Two,You Do That Shit
Kodak Black,Heart Break Kodak,Corrupted
Kodak Black,Painting Pictures,Tunnel Vision
Kodak Black,Project Baby Two,Still in the Streets
Kodak Black,Painting Pictures,There He Go
Kodak Black,Heart Break Kodak,Bill And Jill
Kodak Black,Heart Break Kodak,Helluva Love
Kodak Black,Project Baby Two,No CoDefendant
Kodak Black,Painting Pictures,Coolin And Booted
Kodak Black,Project Baby Two,Pride
Lil Uzi Vert,Luv Is Rage 2,444+222
Lil Uzi Vert,Luv Is Rage 2,How to Talk
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Scott and Ramona
Lil Uzi Vert,Luv Is Rage 2,For Real
Lil Uzi Vert,Luv Is Rage 2,Malfunction
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Baby Are You Home
Lil Uzi Vert,Luv Is Rage 2,Dark Queen
Lil Uzi Vert,Lil Uzi Vert Vs. The World,You Was Right
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Grab the Wheel
Lil Uzi Vert,Luv Is Rage 2,Two®
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Money Longer
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Hi Roller
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Canadian Goose
Lil Uzi Vert,Luv Is Rage 2,Early 20 Rager
Lil Uzi Vert,Luv Is Rage 2,20 Min
Lil Uzi Vert,Luv Is Rage 2,Pretty Mami
Lil Uzi Vert,Lil Uzi Vert Vs. The World,Team Rocket
Lil Uzi Vert,Luv Is Rage 2,Sauce It Up
Lil Uzi Vert,Luv Is Rage 2,Loaded
Lil Uzi Vert,Luv Is Rage 2,Diamonds All On My Wrist
Lil Yachty,Teenage Emotions,Otha Shit (Interlude)
Lil Yachty,Teenage Emotions,All You Had to Say
Lil Yachty,Teenage Emotions,No More
Lil Yachty,Teenage Emotions,Moments in Time
Lil Yachty,Teenage Emotions,FYI (Know Now)
Lil Yachty,Teenage Emotions,Lady in Yellow
Lil Yachty,Lil Boat 2,SELF MADE
Lil Yachty,Lil Boat 2,COUNT ME IN
Lil Yachty,Teenage Emotions,Say My Name
Lil Yachty,Teenage Emotions,Priorities
Lil Yachty,Teenage Emotions,Bring It Back
Lil Yachty,Lil Boat 2,FLEX
Lil Yachty,Teenage Emotions,Made of Glass
Lil Yachty,Teenage Emotions,DN Freestyle
Lil Yachty,Lil Boat 2,FWM
Lil Yachty,Teenage Emotions,Harley
Lil Yachty,Teenage Emotions,My Business
Lil Yachty,Teenage Emotions,Like a Star
Lil Yachty,Lil Boat 2,WHOLE lotta GUAP
Lil Yachty,Lil Boat 2,​love me forever
Migos,Culture II,Narcos
Migos,Culture II,Crown the Kings
Migos,Culture,Brown Paper Bag
Migos,Culture II,Stir Fry
Migos,Culture,Get Right Witcha
Migos,Culture II,Higher We Go (Intro)
Migos,Culture II,Made Men
Migos,Culture II,Open It Up
Migos,Culture II,Auto Pilot
Migos,Culture II,Work Hard
Migos,Culture II,Movin' Too Fast
Migos,Culture II,Supastars
Migos,Culture,What the Price
Migos,Culture,All Ass
Migos,Culture,Out Yo Way
Migos,Culture II,Culture National Anthem (Outro)
Migos,Culture,T-Shirt
Migos,Culture II,Flooded
Migos,Culture,Call Casting
Migos,Culture II,Too Much Jewelry
Moneybagg Yo,Federal 3X,HOE House
Moneybagg Yo,2 Heartless,Ask For
Moneybagg Yo,2 Heartless,Moneybagg Myers
Moneybagg Yo,Federal 3X,Side Bitches
Moneybagg Yo,Federal 3X,Lately
Moneybagg Yo,2 Heartless,Ion Get You
Moneybagg Yo,2 Heartless,Fed Baby's
Moneybagg Yo,2 Heartless,Bigg Facts
Moneybagg Yo,2 Heartless,Black Heart
Moneybagg Yo,Federal 3X,Vent (Flex Freestyle)
Moneybagg Yo,2 Heartless,Secrets
Moneybagg Yo,Federal 3X,Important
Moneybagg Yo,Federal 3X,Mind Frame
Moneybagg Yo,2 Heartless,Scars
Moneybagg Yo,Federal 3X,On Me
Moneybagg Yo,Federal 3X,Blog
Moneybagg Yo,2 Heartless,Perfect Bitch
Moneybagg Yo,Federal 3X,Mad Face Sad Face
Moneybagg Yo,2 Heartless,Back Then
Moneybagg Yo,Federal 3X,Right Now
NF,Therapy Session,How Could You Leave Us
NF,Perception,Know
NF,Perception,Outro
NF,Perception,You're Special
NF,Perception,Dreams
NF,Perception,My Life
NF,Perception,Destiny
NF,Therapy Session,Statement
NF,Perception,Let You Down
NF,Therapy Session,Therapy Session
NF,Therapy Session,Intro 2
NF,Perception,3 A.M.
NF,Perception,If You Want Love
NF,Therapy Session,Got You On My Mind
NF,Perception,Remember This
NF,Therapy Session,I Can Feel It
NF,Therapy Session,Wish You Wouldn't
NF,Therapy Session,All I Do
NF,Therapy Session,Oh Lord
NF,Therapy Session,Breathe
Playboi Carti,Playboi Carti,Location
Playboi Carti,Die Lit,R.I.P.
Playboi Carti,Playboi Carti,Yah Mean
Playboi Carti,Die Lit,Top
Playboi Carti,Playboi Carti,Let It Go
Playboi Carti,Playboi Carti,No. 9
Playboi Carti,Playboi Carti,Kelly K
Playboi Carti,Die Lit,Long Time (Intro)
Playboi Carti,Die Lit,Poke It Out by Playboi Carti & Nicki Minaj
Playboi Carti,Playboi Carti,Lame Niggaz
Playboi Carti,Die Lit,FlatBed Freestyle
Playboi Carti,Die Lit,Old Money
Playboi Carti,Playboi Carti,​dothatshit!
Playboi Carti,Playboi Carti,Magnolia
Playboi Carti,Playboi Carti,Half & Half
Playboi Carti,Die Lit,Home (KOD)
Playboi Carti,Playboi Carti,Had 2
Playboi Carti,Die Lit,Foreign
Playboi Carti,Playboi Carti,Other Shit
Playboi Carti,Die Lit,Pull Up
Post Malone,beerbongs & bentleys,Rich & Sad
Post Malone,Stoney,I Fall Apart
Post Malone,beerbongs & bentleys,92 Explorer
Post Malone,Stoney,Go Flex
Post Malone,beerbongs & bentleys,Candy Paint
Post Malone,Stoney,Patient
Post Malone,beerbongs & bentleys,Paranoid
Post Malone,beerbongs & bentleys,Zack and Codeine
Post Malone,beerbongs & bentleys,Better Now
Post Malone,beerbongs & bentleys,Sugar Wraith
Post Malone,Stoney,Leave
Post Malone,beerbongs & bentleys,Blame It On Me
Post Malone,Stoney,Hit This Hard
Post Malone,beerbongs & bentleys,Over Now
Post Malone,beerbongs & bentleys,Takin' Shots
Post Malone,Stoney,Up There
Post Malone,beerbongs & bentleys,Jonestown (Interlude)
Post Malone,Stoney,Too Young
Post Malone,Stoney,No Option
Post Malone,Stoney,Broken Whiskey Glass
Russ,There's Really A Wolf,Ride Slow
Russ,There's Really A Wolf,Emergency
Russ,There's Really A Wolf,Back To You
Russ,There's Really A Wolf,Cherry Hill
Russ,There's Really A Wolf,One More Shot
Russ,There's Really A Wolf,I Wanna Go Down With You
Russ,There's Really A Wolf,I'm Here
Russ,There's Really A Wolf,MVP
Russ,There's Really A Wolf,Losin Control
Russ,There's Really A Wolf,Scared
Russ,There's Really A Wolf,No Turning Back
Russ,There's Really A Wolf,Family & Friends
Russ,There's Really A Wolf,Me You
Russ,There's Really A Wolf,Pull the Trigger
Russ,There's Really A Wolf,What They Want
Russ,There's Really A Wolf,The Stakeout
Russ,There's Really A Wolf,Act Now
Russ,There's Really A Wolf,Don’t Lie
Russ,There's Really A Wolf,Got This
Russ,There's Really A Wolf,Do It Myself
Wiz Khalifa,Rolling Papers 2,It's on You
Wiz Khalifa,Rolling Papers 2,Goin Hard
Wiz Khalifa,Rolling Papers 2,420 Freestyle
Wiz Khalifa,Rolling Papers 2,B Ok
Wiz Khalifa,"Laugh Now, Fly Later",Letterman
Wiz Khalifa,Rolling Papers 2,Holyfield
Wiz Khalifa,"Laugh Now, Fly Later",City Of Steel
Wiz Khalifa,"Laugh Now, Fly Later",No Dirt
Wiz Khalifa,Rolling Papers 2,Late Night Messages
Wiz Khalifa,"Laugh Now, Fly Later",Figure It Out
Wiz Khalifa,"Laugh Now, Fly Later",Long Way To Go
Wiz Khalifa,"Laugh Now, Fly Later",Plane 4 U
Wiz Khalifa,Rolling Papers 2,Bootsy Bellows
Wiz Khalifa,Rolling Papers 2,Very Special
Wiz Khalifa,"Laugh Now, Fly Later",Stay Focused
Wiz Khalifa,"Laugh Now, Fly Later",Global Access
Wiz Khalifa,Rolling Papers 2,Ocean
Wiz Khalifa,"Laugh Now, Fly Later",Weed Farm
Wiz Khalifa,Rolling Papers 2,King
Wiz Khalifa,Rolling Papers 2,Hot Now
YoungBoy Never Broke Again,AI YoungBoy,Have You Ever
YoungBoy Never Broke Again,Until Death Call My Name,Outside Today
YoungBoy Never Broke Again,AI YoungBoy,Ride On Em
YoungBoy Never Broke Again,AI YoungBoy,Murda Gang
YoungBoy Never Broke Again,Until Death Call My Name,Rags To Riches
YoungBoy Never Broke Again,AI YoungBoy,Trappin
YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,Dropout
YoungBoy Never Broke Again,AI YoungBoy,Untouchable
YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,Drawing Symbols
YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,Can't Be Saved
YoungBoy Never Broke Again,Until Death Call My Name,Worth It
YoungBoy Never Broke Again,Until Death Call My Name,Preach
YoungBoy Never Broke Again,Decided,338
YoungBoy Never Broke Again,Decided,No Mentions
YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,Change (4 Freedom)
YoungBoy Never Broke Again,Decided,No Love
YoungBoy Never Broke Again,AI YoungBoy,Left Hand Right Hand
YoungBoy Never Broke Again,Until Death Call My Name,Astronaut Kid
YoungBoy Never Broke Again,AI YoungBoy,No. 9
YoungBoy Never Broke Again,Until Death Call My Name,Villain
